4
457400.0
200
0
5	1	8
15	1	4
15	1	1
17	1	11
13	1	8
9	1	6
1	1	2
5	1	15
8	1	6
2	1	6
14	1	9
1	1	13
1	1	14
16	1	8
13	1	10
19	1	12
12	1	4
16	1	6
10	1	9
6	1	7
7	1	6
9	2	5
2	2	3
12	2	8
10	2	11
13	2	3
7	2	13
9	2	13
16	2	3
2	2	12
3	2	8
12	2	3
13	2	5
20	2	12
13	2	5
5	2	8
13	2	5
16	2	9
18	2	4
7	2	3
4	2	10
17	2	7
13	3	15
18	3	10
6	3	7
8	3	12
4	3	9
3	3	15
6	3	15
8	3	4
3	3	10
3	3	9
8	3	13
6	3	3
1	3	14
9	3	11
11	3	3
13	3	7
18	3	11
14	3	14
20	3	15
2	4	14
9	4	9
9	4	15
7	4	9
12	4	5
19	4	4
16	4	12
1	4	13
7	4	11
17	4	13
18	4	13
13	4	14
11	4	15
4	4	9
11	4	9
20	4	9
9	5	5
11	5	5
8	5	6
14	5	13
12	5	12
16	5	15
12	5	5
10	5	12
16	5	8
19	5	9
8	5	15
7	5	11
2	5	5
16	6	7
5	6	11
13	6	7
11	6	7
9	6	14
1	6	14
13	6	10
20	6	7
14	6	6
14	7	15
6	7	13
12	7	7
19	7	11
20	7	14
13	7	11
11	7	12
19	7	11
8	7	10
3	8	9
17	8	15
20	8	9
8	8	9
4	8	15
4	8	8
5	8	12
1	8	10
5	8	12
5	8	8
17	8	9
9	8	14
19	9	13
19	9	14
4	9	15
14	9	14
15	9	9
13	9	15
7	9	10
19	9	10
19	9	13
20	10	15
12	10	15
13	10	15
13	10	13
6	10	12
5	10	12
9	10	10
1	10	9
5	10	9
5	9	8
13	10	8
5	9	7
20	8	7
6	10	7
13	9	7
6	7	6
2	7	6
13	8	6
17	7	6
15	10	6
1	7	6
9	7	5
10	6	5
18	8	5
12	6	5
17	7	5
6	8	5
19	6	5
17	7	4
4	10	4
16	8	4
6	9	4
19	9	4
1	5	4
13	10	4
4	9	4
4	7	4
12	8	4
18	5	4
6	8	4
6	8	4
16	9	3
15	10	3
17	10	3
6	4	3
12	8	3
19	7	3
20	8	3
15	5	3
4	9	3
17	7	3
18	4	3
2	5	2
3	5	2
2	3	2
11	3	2
9	8	2
10	5	2
5	10	2
19	4	2
13	8	1
6	8	1
17	3	1
12	5	1
19	3	1
5	5	1
5	5	1
2	9	1
10	10	1
20	5	1
14	9	1
