6
95959.0
100
0
12	1	1
15	1	2
20	1	15
4	1	8
3	1	13
4	1	8
12	1	2
15	1	2
15	1	5
4	1	6
18	1	2
3	1	11
1	2	7
9	2	8
2	2	3
12	2	12
17	2	10
4	2	5
7	2	7
12	2	4
10	2	8
8	3	15
14	3	5
20	3	10
15	3	3
14	3	11
11	3	11
2	3	3
15	3	14
2	3	3
16	3	3
1	4	10
12	4	4
2	4	4
19	4	11
19	4	10
9	4	5
10	4	10
19	4	5
12	4	7
20	5	9
4	5	10
5	5	10
4	5	14
15	5	15
5	5	10
18	6	11
17	6	11
9	6	6
3	6	11
13	6	10
11	6	7
6	6	15
19	6	8
5	6	15
5	7	12
14	7	8
5	7	15
6	7	8
11	7	10
19	7	15
14	8	15
7	8	11
7	8	15
11	8	10
13	8	9
14	9	10
19	9	10
4	9	13
18	9	12
2	9	10
15	9	12
15	9	9
11	9	12
14	9	11
9	10	15
11	10	14
7	10	14
12	10	13
5	10	14
5	10	15
12	10	7
10	10	6
12	9	5
4	8	4
20	10	4
17	9	4
2	6	4
9	6	4
4	9	3
10	5	3
9	5	3
8	10	2
15	10	2
12	7	2
3	4	2
9	7	2
19	9	2
8	3	1
17	3	1
